"sampleName","taxon","type","degdays","counts","fracBySample"
"RRR1C10CS","Armophorea_unclassified","Rib",2656,5,0.000945715906941555
"RRR1C10CS","Armophorida","Rib",2656,1,0.000189143181388311
"RRR1C10CS","Arthropoda_unclassified","Rib",2656,278,0.0525818044259504
"RRR1C10CS","Bacillariophyceae","Rib",2656,15,0.00283714772082466
"RRR1C10CS","Chromadorea_unclassified","Rib",2656,80,0.0151314545110649
"RRR1C10CS","Diatomea_unclassified","Rib",2656,8,0.00151314545110649
"RRR1C10CS","Eukaryota_unclassified","Rib",2656,637,0.120484206544354
"RRR1C10CS","Haplotaxida_fa","Rib",2656,33,0.00624172498581426
"RRR1C10CS","Hypotrichia","Rib",2656,58,0.010970304520522
"RRR1C10CS","Intramacronucleata_unclassified","Rib",2656,6,0.00113485908832987
"RRR1C10CS","Mediophyceae","Rib",2656,55,0.0104028749763571
"RRR1C10CS","Melosirids","Rib",2656,3,0.000567429544164933
"RRR1C10CS","Oligohymenophorea","Rib",2656,1208,0.22848496311708
"RRR1C10CS","Peronosporomycetes_fa","Rib",2656,2655,0.502175146585966
"RRR1C10CS","Rare","Rib",2656,245,0.0463400794401362
"RRR1C12CS","Armophorea_unclassified","Rib",3181,2,0.000378286362776622
"RRR1C12CS","Armophorida","Rib",3181,3,0.000567429544164933
"RRR1C12CS","Arthropoda_unclassified","Rib",3181,172,0.0325326271987895
"RRR1C12CS","Bacillariophyceae","Rib",3181,11,0.00208057499527142
"RRR1C12CS","Chromadorea_unclassified","Rib",3181,162,0.0306411953849064
"RRR1C12CS","Diatomea_unclassified","Rib",3181,1,0.000189143181388311
"RRR1C12CS","Eukaryota_unclassified","Rib",3181,3943,0.74579156421411
"RRR1C12CS","Haplotaxida_fa","Rib",3181,16,0.00302629090221298
"RRR1C12CS","Hypotrichia","Rib",3181,27,0.0051068658974844
"RRR1C12CS","Intramacronucleata_unclassified","Rib",3181,4,0.000756572725553244
"RRR1C12CS","Mediophyceae","Rib",3181,20,0.00378286362776622
"RRR1C12CS","Melosirids","Rib",3181,16,0.00302629090221298
"RRR1C12CS","Oligohymenophorea","Rib",3181,485,0.0917344429733308
"RRR1C12CS","Peronosporomycetes_fa","Rib",3181,313,0.0592018157745413
"RRR1C12CS","Rare","Rib",3181,112,0.0211840363154908
"RRR1C13CS","Armophorea_unclassified","Rib",3388,54,0.0102137317949688
"RRR1C13CS","Armophorida","Rib",3388,2,0.000378286362776622
"RRR1C13CS","Arthropoda_unclassified","Rib",3388,118,0.0223188954038207
"RRR1C13CS","Bacillariophyceae","Rib",3388,23,0.00435029317193115
"RRR1C13CS","Chromadorea_unclassified","Rib",3388,115,0.0217514658596558
"RRR1C13CS","Diatomea_unclassified","Rib",3388,6,0.00113485908832987
"RRR1C13CS","Eukaryota_unclassified","Rib",3388,3361,0.635710232646113
"RRR1C13CS","Haplotaxida_fa","Rib",3388,13,0.00245886135804804
"RRR1C13CS","Hypotrichia","Rib",3388,41,0.00775487043692075
"RRR1C13CS","Intramacronucleata_unclassified","Rib",3388,17,0.00321543408360129
"RRR1C13CS","Mediophyceae","Rib",3388,93,0.0175903158691129
"RRR1C13CS","Melosirids","Rib",3388,30,0.00567429544164933
"RRR1C13CS","Oligohymenophorea","Rib",3388,387,0.0731984111972763
"RRR1C13CS","Peronosporomycetes_fa","Rib",3388,873,0.165121997351995
"RRR1C13CS","Rare","Rib",3388,154,0.0291280499337999
"RRR1C14CS","Armophorea_unclassified","Rib",3673,1,0.000189143181388311
